host_time_iso,host_elapsed_ms,case_id,command_seq,direction,raw_message,message_type,command,result,actuator_mode,commanded_angle_deg,note
2026-08-02T11:50:35.913+09:00,2094.0,V02,0,RX,"READY,S18_V0.1,STOP,90",READY,,,STOP,90,protocol_version=S18_V0.1
2026-08-02T11:50:35.916+09:00,2094.0,V09,1,TX,INVALID,COMMAND,INVALID,,,,
2026-08-02T11:50:35.955+09:00,2125.0,V09,1,RX,"ERR,INVALID_COMMAND,STOP,90",ERR,,INVALID_COMMAND,STOP,90,
2026-08-02T11:50:35.956+09:00,2125.0,V09,2,TX,STOP,COMMAND,STOP,,,,
2026-08-02T11:50:35.991+09:00,2156.0,V09,2,RX,"ACK,STOP,DUPLICATE,STOP,90",ACK,STOP,DUPLICATE,STOP,90,
2026-08-02T11:50:35.992+09:00,2172.0,V06,3,TX,CLOSE,COMMAND,CLOSE,,,,
2026-08-02T11:50:36.028+09:00,2203.0,V06,3,RX,"ACK,CLOSE,APPLIED,CLOSE,90",ACK,CLOSE,APPLIED,CLOSE,90,
2026-08-02T11:50:36.980+09:00,3156.0,V06,4,TX,STOP,COMMAND,STOP,,,,
2026-08-02T11:50:37.011+09:00,3187.0,V06,4,RX,"ACK,STOP,APPLIED,STOP,60",ACK,STOP,APPLIED,STOP,60,
2026-08-02T11:50:37.013+09:00,3187.0,V06,5,TX,OPEN,COMMAND,OPEN,,,,
2026-08-02T11:50:37.045+09:00,3219.0,V06,5,RX,"ACK,OPEN,APPLIED,OPEN,60",ACK,OPEN,APPLIED,OPEN,60,
2026-08-02T11:50:37.847+09:00,4016.0,V06,6,TX,STOP,COMMAND,STOP,,,,
2026-08-02T11:50:37.879+09:00,4047.0,V06,6,RX,"ACK,STOP,APPLIED,STOP,94",ACK,STOP,APPLIED,STOP,94,
2026-08-02T11:50:38.381+09:00,4547.0,V06,7,TX,STOP,COMMAND,STOP,,,,
2026-08-02T11:50:38.415+09:00,4594.0,V06,7,RX,"ACK,STOP,DUPLICATE,STOP,94",ACK,STOP,DUPLICATE,STOP,94,
2026-08-02T11:50:38.416+09:00,4594.0,V08,8,TX,OPEN,COMMAND,OPEN,,,,
2026-08-02T11:50:38.450+09:00,4625.0,V08,8,RX,"ACK,OPEN,APPLIED,OPEN,94",ACK,OPEN,APPLIED,OPEN,94,
2026-08-02T11:50:39.301+09:00,5469.0,V08,9,TX,STOP,COMMAND,STOP,,,,
2026-08-02T11:50:39.334+09:00,5500.0,V08,9,RX,"ACK,STOP,APPLIED,STOP,120",ACK,STOP,APPLIED,STOP,120,
2026-08-02T11:50:39.335+09:00,5500.0,V08,10,TX,CLOSE,COMMAND,CLOSE,,,,
2026-08-02T11:50:39.372+09:00,5547.0,V08,10,RX,"ACK,CLOSE,APPLIED,CLOSE,120",ACK,CLOSE,APPLIED,CLOSE,120,
2026-08-02T11:50:40.274+09:00,6453.0,V08,11,TX,OPEN,COMMAND,OPEN,,,,
2026-08-02T11:50:40.308+09:00,6484.0,V08,11,RX,"ACK,OPEN,REVERSED,OPEN,82",ACK,OPEN,REVERSED,OPEN,82,
2026-08-02T11:50:41.209+09:00,7375.0,V08,12,TX,STOP,COMMAND,STOP,,,,
2026-08-02T11:50:41.243+09:00,7422.0,V08,12,RX,"ACK,STOP,APPLIED,STOP,120",ACK,STOP,APPLIED,STOP,120,
2026-08-02T11:50:41.243+09:00,7422.0,V10-OPEN,13,TX,CLOSE,COMMAND,CLOSE,,,,
2026-08-02T11:50:41.283+09:00,7453.0,V10-OPEN,13,RX,"ACK,CLOSE,APPLIED,CLOSE,120",ACK,CLOSE,APPLIED,CLOSE,120,
2026-08-02T11:50:42.986+09:00,9156.0,V10-OPEN,14,TX,STOP,COMMAND,STOP,,,,
2026-08-02T11:50:43.019+09:00,9187.0,V10-OPEN,14,RX,"ACK,STOP,APPLIED,STOP,60",ACK,STOP,APPLIED,STOP,60,
2026-08-02T11:50:43.020+09:00,9187.0,V10-OPEN,15,TX,OPEN,COMMAND,OPEN,,,,
2026-08-02T11:50:43.055+09:00,9234.0,V10-OPEN,15,RX,"ACK,OPEN,APPLIED,OPEN,60",ACK,OPEN,APPLIED,OPEN,60,
2026-08-02T11:50:44.756+09:00,10922.0,V10-OPEN,16,TX,OPEN,COMMAND,OPEN,,,,
2026-08-02T11:50:44.793+09:00,10969.0,V10-OPEN,16,RX,"ACK,OPEN,DUPLICATE,OPEN,120",ACK,OPEN,DUPLICATE,OPEN,120,
2026-08-02T11:50:44.793+09:00,10969.0,V10-CLOSE,17,TX,STOP,COMMAND,STOP,,,,
2026-08-02T11:50:44.828+09:00,11000.0,V10-CLOSE,17,RX,"ACK,STOP,APPLIED,STOP,120",ACK,STOP,APPLIED,STOP,120,
2026-08-02T11:50:44.828+09:00,11000.0,V10-CLOSE,18,TX,CLOSE,COMMAND,CLOSE,,,,
2026-08-02T11:50:44.866+09:00,11031.0,V10-CLOSE,18,RX,"ACK,CLOSE,APPLIED,CLOSE,120",ACK,CLOSE,APPLIED,CLOSE,120,
2026-08-02T11:50:46.569+09:00,12734.0,V10-CLOSE,19,TX,CLOSE,COMMAND,CLOSE,,,,
2026-08-02T11:50:46.606+09:00,12781.0,V10-CLOSE,19,RX,"ACK,CLOSE,DUPLICATE,CLOSE,60",ACK,CLOSE,DUPLICATE,CLOSE,60,
